"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 19 Dec 2020, Added 03 Nov 2020","3 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","-Kubwa Abuja","<U+20A6>","24,000,000","3 beds","4 baths","4 Toilets"
"Updated 19 Dec 2020, Added 05 Oct 2020","4 BEDROOM SELF CONTAIN FLAT / APARTMENT FOR SALE","Parkview Estate Ikoyi Lagos","<U+20A6>","205,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 09 Dec 2020","3 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ajah Lagos","<U+20A6>","35,000,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 06 May 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Old Ikoyi Ikoyi Lagos","<U+20A6>","230,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 25 May 2020","5 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Victoria Island Lagos","<U+20A6>","250,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 01 Dec 2020","RESIDENTIAL LAND LAND FOR SALE","Cowries Creek EstateIkate Lekki Lagos","<U+20A6>","180,000,000","beds","baths","Toilets"
"Updated 19 Dec 2020, Added 16 Oct 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","...Mojisola Onikoyi Estate Ikoyi Lagos","<U+20A6>","310,000,000","6 beds","6 baths","7 Toilets"
"Updated 19 Dec 2020, Added 03 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","-Wuye Abuja","<U+20A6>","50,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 28 Oct 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Banana Island Ikoyi Lagos","<U+20A6>","450,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 22 Sep 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","OrchidChevron Lekki Lagos","<U+20A6>","150,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 02 Oct 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Oniru Victoria Island Lagos","<U+20A6>","120,000,000","4 beds","5 baths","5 Toilets"
"Updated 19 Dec 2020, Added 18 Aug 2020","5 BEDROOM HOUSE FOR SALE","Chevy view EstateLekki Lagos","<U+20A6>","80,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 08 Jun 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE","Taiye Olowu Street Off Victoria Arobieke.Lekki Phase 1 Lekki Lagos","<U+20A6>","50,000,000","1 beds","1 baths","2 Toilets"
"Updated 19 Dec 2020, Added 20 Nov 2020","2 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","Ajah Lagos","<U+20A6>","23,000,000","2 beds","2 baths","3 Toilets"
"Updated 19 Dec 2020, Added 13 Nov 2020","2 BEDROOM FLAT / APARTMENT FOR SALE","Off Lekki-Epe ExpresswayLekki Lagos","<U+20A6>","36,000,000","2 beds","2 baths","3 Toilets"
"Updated 19 Dec 2020, Added 20 Aug 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Old Ikoyi Ikoyi Lagos","<U+20A6>","200,000,000","5 beds","5 baths","5 Toilets"
"Updated 19 Dec 2020, Added 26 Nov 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Chevron Drive,Chevron Lekki Lagos","<U+20A6>","80,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 14 Feb 2020","4 BEDROOM HOUSE FOR SALE","Ikoyi Lagos","<U+20A6>","200,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 01 Sep 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Ologolo Lekki Lagos","<U+20A6>","65,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 01 Feb 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ilasan Lekki Lagos","<U+20A6>","65,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 31 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ikate Lekki Lagos","<U+20A6>","65,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 27 Jul 2020","10 BEDROOM HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR SALE","Off Nnobi Street Kilo Marsha Surulere Lagos","<U+20A6>","350,000,000","10 beds","10 baths","10 Toilets"
"Updated 19 Dec 2020, Added 10 Dec 2020","4 BEDROOM FLAT / APARTMENT FOR SALE","Old Ikoyi Ikoyi Lagos","<U+20A6>","400,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 15 Mar 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Yaba Gra Abule-Oja Yaba Lagos","<U+20A6>","45,000,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 07 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Guzape Abuja","<U+20A6>","75,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 29 Oct 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Chevron Lekki Lagos","<U+20A6>","95,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 19 Nov 2020","5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","After 2nd toll gateLekki Lagos","<U+20A6>","75,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 20 Nov 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Thomas Estate Ajah Lagos","<U+20A6>","60,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 27 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","100,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 17 Sep 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Ajah Lagos","<U+20A6>","45,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 25 Nov 2020","5 BEDROOM MASSIONETTE HOUSE FOR SALE","Cowries Creek EstateIkate Lekki Lagos","<U+20A6>","220,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 22 Oct 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","65,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 06 Apr 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","...Lsdpc Maryland Estate Maryland Lagos","<U+20A6>","90,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 06 Oct 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Lekki Lagos","<U+20A6>","64,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 30 Nov 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","lekki county homes estateLekki Lagos","<U+20A6>","130,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 16 Oct 2020","5 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","... Ilasan Lekki Lagos","<U+20A6>","65,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 12 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","2nd toll gateLekki Lagos","<U+20A6>","35,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 08 Nov 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","By second toll gateLekki Lagos","<U+20A6>","52,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 13 Aug 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","MegamoundLekki Lagos","<U+20A6>","130,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 19 Oct 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Ologolo Lekki Lagos","<U+20A6>","65,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 18 Dec 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Lekki Lagos","<U+20A6>","70,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 13 Nov 2020","MIXED USE LAND LAND FOR SALE","Abebe Village off Eric Moore RoadBode Thomas Surulere Lagos","<U+20A6>","550,000,000","beds","baths","Toilets"
"Updated 19 Dec 2020, Added 08 Dec 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","...Ikoyi Lagos","<U+20A6>","1,300,000,000","6 beds","6 baths","7 Toilets"
"Updated 19 Dec 2020, Added 25 Nov 2020","5 BEDROOM MASSIONETTE HOUSE FOR SALE","Arcedia Grove EstateOsapa London Lekki Lagos","<U+20A6>","300,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 25 Nov 2020","5 BEDROOM MASSIONETTE HOUSE FOR SALE","Arcedia Grove EstateOsapa London Lekki Lagos","<U+20A6>","500,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 07 Dec 2020","4 BEDROOM FLAT / APARTMENT FOR RENT","... Old Ikoyi Ikoyi Lagos","<U+20A6>","14,999,999/year","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 20 Aug 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","G Cappa EstateMende Maryland Lagos","<U+20A6>","300,000,000","6 beds","6 baths","6 Toilets"
"Updated 19 Dec 2020, Added 28 Sep 2020","5 BEDROOM HOUSE FOR SALE","OsapaLekki Lagos","<U+20A6>","75,000,000","5 beds","5 baths","5 Toilets"
"Updated 19 Dec 2020, Added 24 Jun 2020","MIXED USE LAND LAND FOR SALE","Ikeja Gra Ikeja Lagos","<U+20A6>","230,000,000","beds","baths","Toilets"
"Updated 19 Dec 2020, Added 05 Nov 2020","1 BEDROOM MINI FLAT FLAT / APARTMENT FOR SALE","U3 EstateLekki Phase 1 Lekki Lagos","<U+20A6>","30,000,000","1 beds","1 baths","2 Toilets"
"Updated 19 Dec 2020, Added 08 Oct 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","OrchidLekki Lagos","<U+20A6>","60,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 12 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ikota Lekki Lagos","<U+20A6>","47,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 28 Sep 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Ikota Lekki Lagos","<U+20A6>","52,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 02 Dec 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ikota Lekki Lagos","<U+20A6>","47,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 25 Feb 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Bourdillon Ikoyi Lagos","<U+20A6>","240,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 04 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","-Karmo Abuja","<U+20A6>","55,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 24 Sep 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","...Opebi Ikeja Lagos","<U+20A6>","50,000,000","3 beds","3 baths","3 Toilets"
"Updated 19 Dec 2020, Added 14 Oct 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Lekki Lekki Lagos","<U+20A6>","110,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 06 Oct 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","95,000,000","5 beds","6 baths","7 Toilets"
"Updated 19 Dec 2020, Added 28 Sep 2020","MIXED USE LAND LAND FOR SALE","...Sangotedo Ajah Lagos","<U+20A6>","13,000,000","0 beds","0 baths","0 Toilets"
"Updated 19 Dec 2020, Added 08 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Okun imeduOrimedu Ibeju Lekki Lagos","<U+20A6>","807,500","0 beds","0 baths","0 Toilets"
"Updated 19 Dec 2020, Added 10 Jul 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Agungi Lekki Lagos","<U+20A6>","75,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 12 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Renders Lekki Lagos","<U+20A6>","60,000,000","3 beds","4 baths","4 Toilets"
"Updated 19 Dec 2020, Added 18 Dec 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ajah Lagos","<U+20A6>","33,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 07 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Opposite Lacampaigne TropicanaLacampaigne Tropicana Ibeju Lekki Lagos","<U+20A6>","1,615,000","beds","baths","Toilets"
"Updated 19 Dec 2020, Added 30 Oct 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","450,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 09 Oct 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Chevron Lekki Lagos","<U+20A6>","67,000,000","4 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 20 Nov 2020","2 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","Ajah Lagos","<U+20A6>","23,000,000","2 beds","2 baths","3 Toilets"
"Updated 19 Dec 2020, Added 17 Jun 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Old Ikoyi Ikoyi Lagos","<U+20A6>","170,000,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 14 Sep 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","IlasanIkate Lekki Lagos","<U+20A6>","68,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 28 May 2020","4 BEDROOM HOUSE FOR SALE","Pinnock Beach EstateOsapa London Lekki Lagos","<U+20A6>","130,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 11 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","100,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 10 Jul 2020","3 BEDROOM MASSIONETTE HOUSE FOR SALE","Old Ikoyi Ikoyi Lagos","$","750,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 22 Sep 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","OrchidLekki Lagos","<U+20A6>","45,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 26 Jun 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ilasan Lekki Lagos","<U+20A6>","65,000,000","4 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 18 Jul 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","275,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 06 May 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Osborne Foreshore Estate Ikoyi Lagos","<U+20A6>","110,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 16 Aug 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Off Orchid Hotel Road, 2nd Toll GateIkota Lekki Lagos","<U+20A6>","52,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 17 Jul 2020","5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Banana Island Ikoyi Lagos","<U+20A6>","300,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 02 Nov 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Pearl Gardens Estate Monastery road Sangotedo Lagos","<U+20A6>","38,800,000","4 beds","3 baths","3 Toilets"
"Updated 19 Dec 2020, Added 01 Sep 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Ologolo Lekki Lagos","<U+20A6>","50,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 30 Aug 2020","5 BEDROOM HOUSE FOR SALE","off Palm's driveLekki Phase 1 Lekki Lagos","<U+20A6>","79,000,000","5 beds","5 baths","7 Toilets"
"Updated 19 Dec 2020, Added 05 Nov 2020","3 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","-Karmo Abuja","<U+20A6>","25,000,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 13 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ilasan Lekki Lagos","<U+20A6>","45,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 23 Sep 2020","2 BEDROOM FLAT / APARTMENT FOR SALE","Omole Phase 1 Ojodu Lagos","<U+20A6>","35,000,000","2 beds","2 baths","3 Toilets"
"Updated 19 Dec 2020, Added 17 Aug 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","River Stone Estate, OrchidLekki Lagos","<U+20A6>","65,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 10 Feb 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","95,000,000","6 beds","6 baths","7 Toilets"
"Updated 15 Dec 2020, Added 18 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","115,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 30 Jun 2020","5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","IkoyiIkoyi Lagos","<U+20A6>","320,000,000","5 beds","6 baths","7 Toilets"
"Updated 19 Dec 2020, Added 11 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ikeja Gra Ikeja GRA Ikeja Lagos","<U+20A6>","150,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 08 Jun 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Sebanjo street Papa Ajao Mushin LagosMushin Mushin Lagos","<U+20A6>","60,000,000","3 beds","2 baths","2 Toilets"
"Updated 19 Dec 2020, Added 29 Jun 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Ikota Lekki Lagos","<U+20A6>","55,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 17 Sep 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","63,300,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 14 Feb 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Ikoyi Lagos","<U+20A6>","160,000,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 06 Jul 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Off Orchid Hotel RoadIkota Lekki Lagos","<U+20A6>","43,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 08 Sep 2019","4 BEDROOM MASSIONETTE HOUSE FOR SALE","Awuse EstateOpebi Ikeja Lagos","<U+20A6>","85,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 28 May 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","U3 EstateLekki Phase 1 Lekki Lagos","<U+20A6>","80,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 17 Sep 2020","2 BEDROOM FLAT / APARTMENT FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","52,750,000","2 beds","3 baths","3 Toilets"
"Updated 19 Dec 2020, Added 23 Sep 2020","3 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Isheri North Ojodu Lagos","<U+20A6>","32,000,000","3 beds","3 baths","4 Toilets"
"Updated 19 Dec 2020, Added 14 Jul 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","320,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 15 Jan 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Oniru Victoria Island Lagos","<U+20A6>","75,000,000","3 beds","3 baths","4 Toilets"
